eccentricity,true_PdE,true_WdE,fit_decay_PdE,fit_prec_wdE,fit_dp_PdE,fit_dp_wdE,logZ_decay,logZ_prec,logZ_dp
0.001,-1e-10,1e-07,-1.9791063899985608e-10,-1.4237870276901162e-08,-1.984105521527356e-10,-4.13385189906216e-08,-1140.4679726787915,-4991.829873751828,-1134.9933338776127
0.001,-1e-10,1e-06,-2.0071294287204397e-10,-1.4351412029329426e-06,-2.0107139200782232e-10,-3.7865328282977475e-06,-1165.5251749148088,-5289.409160607481,-1158.9904140247706
0.001,-1e-10,1e-05,-1.9883337054013834e-10,-8.835801884826274e-05,-2.0369155088145671e-10,-8.938350269265837e-05,-1202.011572574264,-5059.615396120516,-1186.9019406247214
0.001,-1e-10,9.999999999999998e-05,-2.0112129222885758e-10,nan,nan,nan,-2092.421028718629,nan,nan
0.001,-1e-09,0.0,-2.0232035373169775e-09,nan,nan,nan,-1311.3192229905244,nan,nan
0.001,-1e-09,9.999999999999999e-09,-2.009843291922033e-09,nan,nan,nan,-1311.3192229905244,nan,nan
0.001,-1e-08,0.0,nan,nan,nan,nan,nan,nan,nan
0.001,-1e-08,9.999999999999999e-09,nan,nan,nan,nan,nan,nan,nan
0.01,-0.0,0.0,-2.2958587272631475e-12,-2.4722308348609413e-08,-3.234843443752913e-12,-1.633690845280165e-08,-1137.6059268225333,-1130.1382411636596,-1133.1216098353468
0.01,-0.0,1.0000000000000002e-08,-4.000028394411738e-12,2.2048353452282556e-08,-1.9875567640725437e-12,6.811550068934238e-09,-1137.6059268225333,-1130.1382411636596,-1133.1216098353468
0.01,-0.0,1.0000000000000002e-07,5.1447707113929e-13,-1.8915259615295765e-07,2.539800801441039e-13,3.157468654174164e-08,-1231.6791635314025,-1223.3759201445557,-1225.616942936624
0.01,-0.0,9.999999999999997e-07,2.239405050376045e-12,-5.765905014892681e-06,1.551153270222791e-12,-3.4118114688883573e-06,-1246.0734013970116,-1237.8953547689139,-1237.885780834898
0.01,-0.0,9.999999999999999e-06,2.9336042206547673e-12,-9.852877499308006e-05,4.765937701170659e-13,-9.946799827763978e-05,-2194.1653335739556,-2118.5170494140293,-2116.9959757975016
0.01,-0.0,9.999999999999998e-05,-1.1160244196795162e-11,-0.009999868857191252,-6.5188499666457406e-12,-0.009999670348837024,-97479.20253112513,-42181.045288386624,-42205.192348852375
0.01,-1e-12,0.0,-5.466258055309412e-12,2.021562955676691e-09,-6.481186508498644e-12,1.4608759041010604e-08,-1197.758033502616,-1193.961966515894,-1192.429174689601
0.01,-1e-12,1.0000000000000002e-08,-7.468138151712239e-12,1.2424601236302554e-08,-6.325597855342109e-12,1.0698450413579386e-08,-1197.758033502616,-1193.961966515894,-1192.429174689601
0.01,-1e-12,1.0000000000000002e-07,-3.269869890736648e-12,1.2209634337866463e-07,-2.1905633341938045e-12,5.9397370733418834e-08,-1219.6798085436926,-1213.3419783451636,-1216.751808957311
0.01,-1e-12,9.999999999999997e-07,-1.5524554624784762e-12,-2.06202927683738e-06,-1.4865045697302217e-12,-2.384327242059385e-06,-1102.8677105801626,-1095.1849498088045,-1095.3749445967053
0.01,-1e-12,9.999999999999999e-06,-3.207977321260506e-12,-9.902051987052114e-05,-1.1163807990556613e-11,-9.889339290982847e-05,-2218.538660005478,-2143.059521387974,-2139.85869276299
0.01,-1e-12,9.999999999999998e-05,-7.215554561708893e-12,-0.009999737415943644,nan,nan,-95876.85845978893,-41084.983641951134,nan
0.01,-1e-11,0.0,-2.4149875128143642e-11,2.150181523937022e-08,-2.452929458658669e-11,-1.3033749452166462e-08,-1185.608848784192,-1236.1509198776503,-1179.861664398029
0.01,-1e-11,1.0000000000000002e-08,-2.2387591609343346e-11,-9.78931491602612e-09,-2.2452232418889387e-11,1.8999771690230752e-08,-1185.608848784192,-1236.1509198776503,-1179.861664398029
0.01,-1e-11,1.0000000000000002e-07,-2.226438997689374e-11,-1.299686878881602e-07,-2.226484694433379e-11,1.2751676769121678e-07,-1152.7528979549188,-1197.4498616414776,-1146.4221139460458
0.01,-1e-11,9.999999999999997e-07,-2.3161861935110217e-11,-4.97209975472197e-06,-2.339819821922654e-11,-4.8115415362140345e-06,-1155.5564877940055,-1201.6962444092,-1148.2772672844494
